
1648,132203.066382916
1649,139494.628873201
1650,115931.301923593
1651,119582.606016823
1652,98538.0468280014
1653,101060.637684614
1654,148933.409004756
1655,146866.374032093
1656,150015.770445784
1657,149417.936156978
1658,151252.769636089
1659,121634.174375213
1660,156283.592559109
1661,462690.724031945
1662,405075.930743065
1663,384761.116646602
1664,517484.394996747
1665,299682.901765424
1666,328803.195857166
1667,395201.942796825
1668,323797.779065406
1669,294702.494191873
1670,337252.171476833
1671,261241.517485999
1672,450902.065288852
1673,300950.5625804
1674,244723.387222807
1675,187715.358190125
1676,193218.626123452
1677,218085.405728556
1678,460461.796956903
1679,395655.114809025
1680,338487.12081402
1681,243023.368097803
1682,321972.68639928
1683,179194.722720081
1684,178232.089825824
1685,171442.045649146
1686,169262.917958057
1687,167141.790394871
1688,194515.343181135
1689,194094.864932023
1690,200659.717672864
1691,182289.653206651
1692,266782.055971776
1693,167685.833967067
1694,179854.748366878
1695,166561.003077055
1696,270883.242649494
1697,169764.260288979
1698,354771.963723769
1699,326659.641529468
1700,246943.987996688
1701,270460.124062592
1702,242518.090453065
1703,254539.242128094
1704,274389.436129633
1705,235823.142849437
1706,390011.156559024
1707,217708.904093332
1708,201264.688814551
1709,260552.892421903
1710,230445.137318185
1711,268436.021510983
1712,268396.244492981
1713,266148.546578419
1714,227044.694770573
1715,203708.272032929
1716,179063.797505763
1717,178335.589583354
1718,136022.838321581
1719,201077.916810068
1720,234608.533319252
1721,160081.571511952
1722,123663.484738934
1723,150214.904570399
1724,209892.383000353
1725,240962.38364412
1726,195479.166613339
1727,159973.923318615
1728,178778.46427036
1729,158258.977737018
1730,157654.197808792
1731,124143.889358357
1732,127903.38725238
1733,113602.498377705
1734,119413.738121519
1735,133600.034118529
1736,116225.012490023
1737,309315.265966483
1738,240631.551265583
1739,253344.576482502
1740,221379.092323978
1741,184579.145166501
1742,170277.811388088
1743,176967.97601252
1744,303652.345344601
1745,221111.59356228
1746,197480.635835713
1747,218571.003475244
1748,227354.401380238
1749,151764.401690559
1750,127558.876632765
1751,241108.73655476
1752,122351.059276699
1753,150338.115891474
1754,203272.891255542
1755,167226.130341029
1756,127967.373292521
1757,120514.167373447
1758,143836.749254737
1759,165655.090043926
1760,172738.011484278
1761,148449.764779408
1762,178937.648062347
1763,176739.382791654
1764,120008.155142908
1765,174669.179673388
1766,183547.152502476
1767,215664.915991545
1768,148051.95694554
1769,173127.724324106
1770,154010.617609288
1771,124559.096709614
1772,139580.439274785
1773,127593.707256479
1774,141812.536049974
1775,137804.283314549
1776,126124.500843793
1777,105610.660560631
1778,141342.809101699
1779,112876.837074128
1780,175186.894680026
1781,123367.80363626
1782,83714.3303016134
1783,140168.001599635
1784,106298.64924965
