"Id","SalePrice"
1461,117560.550996831
1462,161344.478202369
1463,189417.463545933
1464,197516.292791376
1465,195444.261808083
1466,166213.758787146
1467,170772.090929095
1468,167254.558595536
1469,188632.042941568
1470,127746.428846333
1471,200104.703034181
1472,96141.6176504758
1473,96982.2213502938
1474,158144.166705119
1475,114298.591720021
1476,376454.877703961
1477,259865.571647344
1478,287774.027122511
1479,297048.350097344
1480,496517.480180987
1481,353158.676097845
1482,216405.048661215
1483,175100.828020518
1484,168046.679810252
1485,182986.824976626
1486,198153.402808175
1487,339017.676849424
1488,234626.7628001
1489,192725.547794236
1490,234272.097916494
1491,197867.901924222
1492,86937.6204041611
1493,191777.254352594
1494,291344.230773367
1495,291859.08552905
1496,234208.130929742
1497,191030.085202709
1498,164084.989429031
1499,157019.282212318
1500,151256.457495322
1501,172592.772782508
1502,152449.349142952
1503,303429.612164867
1504,242990.461263141
1505,226608.870634766
1506,192687.225031241
1507,234077.653615356
1508,193869.16968824
1509,158665.38989522
1510,144324.838408768
1511,145573.575585844
1512,183628.215148918
1513,143938.74869284
1514,160723.606634146
1515,192468.081892376
1516,156177.560777569
1517,161289.997895863
1518,138571.229346721
1519,215483.507108657
1520,132648.157683767
1521,129937.49744722
1522,174457.40163903
1523,110046.37258802
1524,123648.477819911
1525,120525.915311907
1526,120306.08736024
1527,103683.043213217
1528,132983.098641706
1529,148181.61694525
1530,176768.752032084
1531,114754.321954719
1532,98187.2481474505
1533,151873.246793152
1534,117709.576992739
1535,157117.0532669
1536,118326.753790664
1537,62488.5952034797
1538,167457.912698672
1539,208265.938743451
1540,93904.8899506034
1541,138286.350846742
1542,140662.91250951
1543,195571.520628856
1544,84856.2672819631
1545,111901.851854986
1546,130301.969625659
1547,139654.292034246
1548,135941.72307988
1549,118571.93882639
1550,141615.511123449
1551,111245.639910638
1552,130147.716176698
1553,149954.130738977
1554,116741.747516384
1555,165234.185117515
1556,88784.3905828491
1557,106292.413578123
1558,91577.6553525919
1559,91026.9591871931
1560,146048.988429452
1561,138783.747384818
1562,132258.889853966
1563,121493.36038205
1564,160199.37869239
1565,149726.719498307
1566,245380.117265612
1567,72708.8631499444
1568,229470.237501079
1569,138772.74484416
1570,142590.412401911
1571,130473.019820499
1572,146168.28969347
1573,232744.120605065
1574,123232.035888443
1575,231623.47923188
1576,229784.636153017
1577,186609.908731697
1578,139887.541829111
1579,146551.601712915
1580,195661.514936468
1581,157234.267276378
1582,128074.383673161
1583,304081.516871125
1584,219221.720451057
1585,142648.123177877
1586,68296.5525131894
1587,97556.7270244493
1588,152691.712263279
1589,97664.0375962921
1590,134022.210885627
1591,99388.494089145
1592,110239.755605745
1593,119663.013079313
1594,130561.430402209
1595,114298.750310099
1596,239638.553700585
1597,189065.759409476
1598,213077.758601752
1599,175095.832541099
1600,174956.566925104
1601,65868.091702938
1602,111713.064088368
1603,87538.8923478825
1604,269596.940953403
1605,242647.413029165
1606,171311.406438112
1607,173953.202054314
1608,223905.127364439
1609,184093.739788151
1610,150228.252488714
1611,144655.112757824
1612,171554.161896199
1613,159358.698926806
1614,123461.221464972
1615,94303.5776248349
1616,79352.0404383654
1617,91093.6363429054
1618,124014.733891145
1619,139446.735874996
1620,165912.548260466
1621,131609.341397175
1622,144005.187787277
1623,293602.153331953
1624,210464.064498496
1625,118898.791092946
1626,165222.634326553
1627,188185.703301629
1628,279699.052511129
1629,178351.783376147
1630,348426.452682315
1631,223303.748956626
1632,244540.419898147
1633,167764.432546413
1634,189527.171874713
1635,176751.552497092
1636,151989.758718205
1637,196748.728807933
1638,194009.490406342
1639,176586.581720634
1640,259189.207254354
1641,176681.538119651
1642,229891.972956198
1643,221481.965293286
1644,239736.66554082
1645,194692.376052406
1646,153493.590520032
1647,154626.776930825
1648,132203.066382916
1649,139494.628873201
1650,115931.301923593
1651,119582.606016823
1652,98538.0468280014
1653,101060.637684614
1654,148933.409004756
1655,146866.374032093
1656,150015.770445784
1657,149417.936156978
1658,151252.769636089
1659,121634.174375213
1660,156283.592559109
1661,462690.724031945
1662,405075.930743065
1663,384761.116646602
1664,517484.394996747
1665,299682.901765424
1666,328803.195857166
1667,395201.942796825
1668,323797.779065406
1669,294702.494191873
1670,337252.171476833
1671,261241.517485999
1672,450902.065288852
1673,300950.5625804
1674,244723.387222807
1675,187715.358190125
1676,193218.626123452
1677,218085.405728556
1678,460461.796956903
1679,395655.114809025
1680,338487.12081402
1681,243023.368097803
1682,321972.68639928
1683,179194.722720081
1684,178232.089825824
1685,171442.045649146
1686,169262.917958057
1687,167141.790394871
1688,194515.343181135
1689,194094.864932023
1690,200659.717672864
1691,182289.653206651
1692,266782.055971776
1693,167685.833967067
1694,179854.748366878
1695,166561.003077055
1696,270883.242649494
1697,169764.260288979
1698,354771.963723769
1699,326659.641529468
